"","filename","rng_seed","species_initiation_rate_good_species","species_initiation_rate_incipient_species","speciation_completion_rate","extinction_rate_good_species","extinction_rate_incipient_species","age","n_species_trees_samples","mutation_rate","n_alignments","sequence_length","mcmc_chainlength","n_beast_runs","version"
"155","article_1_0_1_0_1.RDa","1","0.5","0.5","0.1","0.1","0.1","15","2","0.1","2","10000","1e+06","2","0.1"
"156","article_1_0_1_0_2.RDa","1","0.5","0.5","0.1","0.1","0.1","15","2","0.1","2","1e+05","1e+06","2","0.1"
"157","article_1_0_1_1_0.RDa","1","0.5","0.5","0.1","0.1","0.1","15","2","0.01","2","1000","1e+06","2","0.1"
"158","article_1_0_1_1_1.RDa","1","0.5","0.5","0.1","0.1","0.1","15","2","0.01","2","10000","1e+06","2","0.1"
"159","article_1_0_1_1_2.RDa","1","0.5","0.5","0.1","0.1","0.1","15","2","0.01","2","1e+05","1e+06","2","0.1"
"160","article_1_0_1_2_0.RDa","1","0.5","0.5","0.1","0.1","0.1","15","2","0.001","2","1000","1e+06","2","0.1"
"161","article_1_0_1_2_1.RDa","1","0.5","0.5","0.1","0.1","0.1","15","2","0.001","2","10000","1e+06","2","0.1"
"162","article_1_0_1_2_2.RDa","1","0.5","0.5","0.1","0.1","0.1","15","2","0.001","2","1e+05","1e+06","2","0.1"
"163","article_1_0_2_0_0.RDa","1","0.5","0.5","0.1","0.2","0.2","15","2","0.1","2","1000","1e+06","2","0.1"
"164","article_1_0_2_0_1.RDa","1","0.5","0.5","0.1","0.2","0.2","15","2","0.1","2","10000","1e+06","2","0.1"
"165","article_1_0_2_0_2.RDa","1","0.5","0.5","0.1","0.2","0.2","15","2","0.1","2","1e+05","1e+06","2","0.1"
"166","article_1_0_2_1_0.RDa","1","0.5","0.5","0.1","0.2","0.2","15","2","0.01","2","1000","1e+06","2","0.1"
"167","article_1_0_2_1_1.RDa","1","0.5","0.5","0.1","0.2","0.2","15","2","0.01","2","10000","1e+06","2","0.1"
"168","article_1_0_2_1_2.RDa","1","0.5","0.5","0.1","0.2","0.2","15","2","0.01","2","1e+05","1e+06","2","0.1"
"169","article_1_0_2_2_0.RDa","1","0.5","0.5","0.1","0.2","0.2","15","2","0.001","2","1000","1e+06","2","0.1"
"170","article_1_0_2_2_1.RDa","1","0.5","0.5","0.1","0.2","0.2","15","2","0.001","2","10000","1e+06","2","0.1"
"171","article_1_0_2_2_2.RDa","1","0.5","0.5","0.1","0.2","0.2","15","2","0.001","2","1e+05","1e+06","2","0.1"
"172","article_1_0_3_0_0.RDa","1","0.5","0.5","0.1","0.4","0.4","15","2","0.1","2","1000","1e+06","2","0.1"
"173","article_1_0_3_0_1.RDa","1","0.5","0.5","0.1","0.4","0.4","15","2","0.1","2","10000","1e+06","2","0.1"
"174","article_1_0_3_0_2.RDa","1","0.5","0.5","0.1","0.4","0.4","15","2","0.1","2","1e+05","1e+06","2","0.1"
"175","article_1_0_3_1_0.RDa","1","0.5","0.5","0.1","0.4","0.4","15","2","0.01","2","1000","1e+06","2","0.1"
"176","article_1_0_3_1_1.RDa","1","0.5","0.5","0.1","0.4","0.4","15","2","0.01","2","10000","1e+06","2","0.1"
"177","article_1_0_3_1_2.RDa","1","0.5","0.5","0.1","0.4","0.4","15","2","0.01","2","1e+05","1e+06","2","0.1"
"178","article_1_0_3_2_0.RDa","1","0.5","0.5","0.1","0.4","0.4","15","2","0.001","2","1000","1e+06","2","0.1"
"179","article_1_0_3_2_1.RDa","1","0.5","0.5","0.1","0.4","0.4","15","2","0.001","2","10000","1e+06","2","0.1"
"180","article_1_0_3_2_2.RDa","1","0.5","0.5","0.1","0.4","0.4","15","2","0.001","2","1e+05","1e+06","2","0.1"
"181","article_1_1_0_0_0.RDa","1","0.5","0.5","0.3","0","0","15","2","0.1","2","1000","1e+06","2","0.1"
"182","article_1_1_0_0_1.RDa","1","0.5","0.5","0.3","0","0","15","2","0.1","2","10000","1e+06","2","0.1"
"183","article_1_1_0_0_2.RDa","1","0.5","0.5","0.3","0","0","15","2","0.1","2","1e+05","1e+06","2","0.1"
"184","article_1_1_0_1_0.RDa","1","0.5","0.5","0.3","0","0","15","2","0.01","2","1000","1e+06","2","0.1"
"185","article_1_1_0_1_1.RDa","1","0.5","0.5","0.3","0","0","15","2","0.01","2","10000","1e+06","2","0.1"
"186","article_1_1_0_1_2.RDa","1","0.5","0.5","0.3","0","0","15","2","0.01","2","1e+05","1e+06","2","0.1"
"187","article_1_1_0_2_0.RDa","1","0.5","0.5","0.3","0","0","15","2","0.001","2","1000","1e+06","2","0.1"
"188","article_1_1_0_2_1.RDa","1","0.5","0.5","0.3","0","0","15","2","0.001","2","10000","1e+06","2","0.1"
"189","article_1_1_0_2_2.RDa","1","0.5","0.5","0.3","0","0","15","2","0.001","2","1e+05","1e+06","2","0.1"
"190","article_1_1_1_0_0.RDa","1","0.5","0.5","0.3","0.1","0.1","15","2","0.1","2","1000","1e+06","2","0.1"
"191","article_1_1_1_0_1.RDa","1","0.5","0.5","0.3","0.1","0.1","15","2","0.1","2","10000","1e+06","2","0.1"
"192","article_1_1_1_0_2.RDa","1","0.5","0.5","0.3","0.1","0.1","15","2","0.1","2","1e+05","1e+06","2","0.1"
"193","article_1_1_1_1_0.RDa","1","0.5","0.5","0.3","0.1","0.1","15","2","0.01","2","1000","1e+06","2","0.1"
"194","article_1_1_1_1_1.RDa","1","0.5","0.5","0.3","0.1","0.1","15","2","0.01","2","10000","1e+06","2","0.1"
"195","article_1_1_1_1_2.RDa","1","0.5","0.5","0.3","0.1","0.1","15","2","0.01","2","1e+05","1e+06","2","0.1"
